,Estimate,Std. Error,z value,Pr(>|z|),Change
summaryPossible Light Snow,1.441296818,0.466334347,3.090694106,0.001996892,322.6172842
summaryPossible Light Rain,1.327073954,0.29824384,4.449627373,8.60E-06,276.999605
summaryFoggy,0.907242439,0.347903218,2.607743745,0.009114116,147.74813
summaryPossible Flurries,0.714370096,0.216871296,3.293981774,0.000987789,104.2899445
summaryLight Rain,0.707759308,0.229670798,3.081625155,0.002058739,102.9438813
summaryLight Snow,0.707090695,0.248851007,2.841421875,0.004491285,102.8082357
summaryOvercast,0.631375165,0.16276538,3.879050729,0.000104865,88.01943798
summaryRain,0.389994731,0.287361882,1.357155405,0.174731837,47.69730122
summaryMostly Cloudy,0.352388118,0.121371258,2.903390183,0.003691464,42.24604998
summaryDrizzle,0.350933629,0.946203958,0.370885818,0.710722578,42.039305
summaryPossible Drizzle,0.244204728,0.234027761,1.043486151,0.296723191,27.66056603
summaryPartly Cloudy,0.093196436,0.078274181,1.190640827,0.233794617,9.767733749
Arrival_Taxi,0.064278847,0.001920487,33.47006948,1.31E-245,6.638971669
windSpeed,0.013808206,0.004266676,3.236291491,0.001210937,1.390397983
windBearing,0.002224561,0.000209937,10.59630389,3.10E-26,0.22270369
Arrival_WheelsOn,0.001204065,6.54E-05,18.40060317,1.30E-75,0.120479007
Flight_Distance,-0.00010017,2.95E-05,-3.393038039,0.00069122,-0.010016477
visibility,-0.135600401,0.015891718,-8.53277151,1.43E-17,-12.68085109
cloudCover,-0.404241475,0.187109236,-2.16045709,0.030737302,-33.25170787
time_bandH2,-0.644787386,0.108754034,-5.928859487,3.05E-09,-47.52258952
time_bandH3,-1.217224751,0.121282732,-10.03625768,1.06E-23,-70.39493578
(Intercept),-1.35257415,0.197441764,-6.850496678,7.36E-12,-74.14262044
time_bandH4,-1.607434513,0.140458912,-11.44416181,2.52E-30,-79.95989184
